place,region,market_type,bread_price,wheat_price,rye_price,cheese_price,butter_price
Pasloe,North,village,3.8lumione,2.8lumione,2.1lumione,2.3lumione,2lumione
Pazzio,North,market_town,13.4trenni,10.1trenni,7.1trenni,9.9trenni,8.1trenni
Ruvinheigen,Central,church_city,4.1lumione,2.9lumione,2.3lumione,2.6lumione,2.2lumione
Kumersun,Central,market_town,17.4trenni,12.1trenni,8.6trenni,11.1trenni,8.8trenni
Lenos,North,port_city,3lumione,2.1lumione,1.6lumione,2.6lumione,2.3lumione
Tereo,Central,village,13.4trenni,9.8trenni,8.3trenni,10.4trenni,8.9trenni
Kerube,South,market_town,3.7lumione,2.8lumione,2lumione,3.1lumione,2.6lumione
Nyohhira,North,spa_town,15trenni,10.2trenni,8.6trenni,9.2trenni,7.8trenni
Poroson,South,market_town,4lumione,2.7lumione,1.9lumione,2.4lumione,1.9lumione
Winfiel,Central,market_town,13.8trenni,9.9trenni,7.7trenni,9.2trenni,7.9trenni
Enberch,North,port_city,4.1lumione,2.9lumione,2.1lumione,2.5lumione,2.2lumione
Svelnel,North,village,18trenni,12trenni,9.3trenni,10.1trenni,10.5trenni
Ransheim,South,market_town,4.1lumione,2.4lumione,2.2lumione,2.6lumione,2.1lumione
Varen,Central,church_city,16.2trenni,12trenni,8.1trenni,9.3trenni,8.4trenni
Rudeln,South,port_city,4.1lumione,2.8lumione,2.3lumione,2.3lumione,2lumione
Marheit,Central,market_town,15.4trenni,10trenni,7.9trenni,9.9trenni,8.5trenni
Atif,North,village,4.3lumione,3lumione,2.2lumione,2.7lumione,2.2lumione
Kelfen,South,port_city,16.1trenni,10.4trenni,6.9trenni,11.3trenni,9.1trenni
Ghelbe,Central,church_city,4.3lumione,3lumione,2.2lumione,2.6lumione,2.3lumione
Lauter,North,village,14.3trenni,11trenni,8.3trenni,11.7trenni,8.2trenni
Sarnia,South,market_town,3.5lumione,2.6lumione,2.1lumione,2.7lumione,2.4lumione
Tissel,Central,market_town,15.7trenni,9.9trenni,7.8trenni,9.6trenni,8.2trenni
Batos,North,village,4.9lumione,2.8lumione,2.6lumione,2.3lumione,2.4lumione
Rodelta,South,port_city,14.6trenni,9.5trenni,8trenni,10.5trenni,9.1trenni
