plot_id,crop,field_size_m2,almighty_farming_tool,harvest_result_2023,harvest_result_2024,harvest_result_2025
field_01,tomato,1200,no,38.6,36.4,41.2
field_02,potato,1300,yes,47.8,46.7,57.5
field_03,corn,1700,no,39.1,37.9,42.7
field_04,cabbage,1700,yes,49.1,50.9,54.7
field_05,tomato,1800,yes,49.2,56.2,55.0
field_06,potato,2200,no,37.6,36.4,41.2
field_07,corn,2200,yes,57.6,55.4,57.2
field_08,cabbage,2500,no,28.5,33.3,38.1
field_09,tomato,2500,yes,60.5,56.3,58.1
field_10,potato,2600,yes,52.8,59.6,57.4
field_11,corn,2800,no,43.4,40.2,37.0
field_12,cabbage,2900,yes,47.7,57.5,58.3
field_13,tomato,3200,no,42.6,45.4,45.2
field_14,potato,3300,yes,57.9,59.7,63.5
field_15,corn,3400,yes,62.2,62.0,64.8
field_16,cabbage,3600,no,40.8,40.6,35.4
field_17,tomato,3800,yes,63.4,65.2,62.0
field_18,potato,4100,no,39.3,40.1,40.9
field_19,corn,4000,yes,58.0,60.8,61.6
field_20,cabbage,4400,no,34.2,44.0,40.8
field_21,tomato,4600,yes,63.8,65.6,64.4
field_22,potato,4700,yes,61.1,64.9,58.7
field_23,corn,4800,no,43.4,47.2,52.6
field_24,cabbage,4800,yes,58.4,55.2,60.0
field_25,tomato,5200,no,47.6,45.4,52.2
field_26,potato,5300,yes,61.9,62.7,69.5
field_27,corn,5500,no,45.5,51.8,54.1
field_28,cabbage,5600,yes,62.8,59.6,59.4
field_29,tomato,5800,no,45.4,51.2,52.0
field_30,potato,5800,yes,60.4,60.2,64.0
